Date,Close,Rendement du mois,Rendement LP,Rendement DCA x mois,Durée,Mois DCA
,^GSPC,,,,,
2021-06-01,4297.5,0.0222,147557.198,106006.416,5 ans,12 mois
2021-07-01,4395.2598,0.0227,150913.8372,108417.8557,5 ans,12 mois
2021-08-01,4522.6802,0.029,155288.8922,111560.9345,5 ans,12 mois
2021-09-01,4307.54,-0.0476,147901.9286,106254.0736,5 ans,12 mois
2021-10-01,4605.3799,0.0691,158128.4354,113600.8879,5 ans,12 mois
2021-11-01,4567.0,-0.0083,156810.6395,112654.1714,5 ans,12 mois
2021-12-01,4766.1802,0.0436,163649.6083,117567.3481,5 ans,12 mois
2022-01-01,4515.5498,-0.0526,155044.0667,111385.0497,5 ans,12 mois
2022-02-01,4373.9399,-0.0314,150181.8085,107891.9597,5 ans,12 mois
2022-03-01,4530.4102,0.0358,155554.3056,111751.6099,5 ans,12 mois
2022-04-01,4131.9302,-0.088,141872.2604,101922.3058,5 ans,12 mois
2022-05-01,4132.1499,0.0001,141879.8048,101927.7258,5 ans,12 mois
2022-06-01,3785.3799,-0.0839,129973.2516,93373.951,5 ans,12 mois
2022-07-01,4130.29,0.0911,141815.9453,101881.8485,5 ans,12 mois
2022-08-01,3955.0,-0.0424,135797.2584,97557.9698,5 ans,12 mois
2022-09-01,3585.6201,-0.0934,123114.3822,88446.4777,5 ans,12 mois
2022-10-01,3871.98,0.0799,132946.717,95510.1153,5 ans,12 mois
2022-11-01,4080.1101,0.0538,140092.9878,100644.0603,5 ans,12 mois
2022-12-01,3839.5,-0.059,131831.4978,94708.9317,5 ans,12 mois
2023-01-01,4076.6001,0.0618,139972.4695,100557.4789,5 ans,12 mois
2023-02-01,3970.1499,-0.0261,136317.4392,97931.6724,5 ans,12 mois
2023-03-01,4109.3101,0.0351,141095.5853,101364.3354,5 ans,12 mois
2023-04-01,4169.48,0.0146,143161.5551,102848.5467,5 ans,12 mois
2023-05-01,4179.8301,0.0025,143516.9318,103103.8525,5 ans,12 mois
2023-06-01,4450.3799,0.0647,152806.4189,109777.5035,5 ans,12 mois
2023-07-01,4588.96,0.0311,157564.6477,113195.8577,5 ans,12 mois
2023-08-01,4507.6602,-0.0177,154773.1709,111190.4357,5 ans,12 mois
2023-09-01,4288.0498,-0.0487,147232.7199,105773.3081,5 ans,12 mois
2023-10-01,4193.7998,-0.022,143996.5906,103448.4437,5 ans,12 mois
2023-11-01,4567.7998,0.0892,156838.1012,112673.9002,5 ans,12 mois
2023-12-01,4769.8301,0.0442,163774.9299,117657.3802,5 ans,12 mois
2024-01-01,4845.6499,0.0159,166378.2483,119527.6275,5 ans,12 mois
2024-02-01,5096.27,0.0517,174983.4379,125709.673,5 ans,12 mois
2024-03-01,5254.3501,0.031,180411.2106,129609.0337,5 ans,12 mois
2024-04-01,5035.6899,-0.0416,172903.3851,124215.3444,5 ans,12 mois
2024-05-01,5277.5098,0.048,181206.4115,130180.3131,5 ans,12 mois
2024-06-01,5460.48,0.0347,187488.8017,134693.6387,5 ans,12 mois
2024-07-01,5522.2998,0.0113,189611.4219,136218.5481,5 ans,12 mois
2024-08-01,5648.3999,0.0228,193941.1431,139329.0587,5 ans,12 mois
2024-09-01,5762.48,0.0202,197858.1499,142143.0715,5 ans,12 mois
2024-10-01,5705.4502,-0.0099,195899.9986,140736.318,5 ans,12 mois
2024-11-01,6032.3799,0.0573,207125.3223,148800.6914,5 ans,12 mois
2024-12-01,5881.6299,-0.025,201949.2321,145082.1417,5 ans,12 mois
2025-01-01,6040.5298,0.027,207405.154,149001.725,5 ans,12 mois
2025-02-01,5954.5,-0.0142,204451.2706,146879.6286,5 ans,12 mois
2025-03-01,5611.8501,-0.0575,192686.184,138427.4848,5 ans,12 mois
2025-04-01,5363.3599,-0.0443,184154.1252,132297.9771,5 ans,12 mois
2000-05-01,1420.6,-0.0219,97808.4949,4075.354,25 ans,24 mois
2000-06-01,1454.6,0.0239,100149.3994,8341.7437,25 ans,24 mois
2000-07-01,1430.83,-0.0163,98512.8304,12440.3218,25 ans,24 mois
2000-08-01,1517.6801,0.0607,104492.4711,16859.9014,25 ans,24 mois
2000-09-01,1436.51,-0.0535,98903.9029,20803.7223,25 ans,24 mois
2000-10-01,1429.4,-0.0049,98414.3795,24949.7661,25 ans,24 mois
2000-11-01,1314.95,-0.0801,90534.4769,28782.8136,25 ans,24 mois
2000-12-01,1320.28,0.0041,90901.4535,32966.3696,25 ans,24 mois
2001-01-01,1366.01,0.0346,94049.9686,37277.3553,25 ans,24 mois
2001-02-01,1239.9399,-0.0923,85370.0279,41059.4773,25 ans,24 mois
2001-03-01,1160.33,-0.0642,79888.8699,44958.6243,25 ans,24 mois
2001-04-01,1249.46,0.0768,86025.4824,49445.3508,25 ans,24 mois
2001-05-01,1255.8199,0.0051,86463.3683,53633.2266,25 ans,24 mois
2001-06-01,1224.38,-0.025,84298.7242,57695.5791,25 ans,24 mois
2001-07-01,1211.23,-0.0107,83393.3433,61817.4952,25 ans,24 mois
2001-08-01,1133.58,-0.0641,78047.1289,65717.0435,25 ans,24 mois
2001-09-01,1040.9399,-0.0817,71668.8517,69543.196,25 ans,24 mois
2001-10-01,1059.78,0.0181,72965.9942,73785.2756,25 ans,24 mois
2001-11-01,1139.45,0.0752,78451.2788,78265.1752,25 ans,24 mois
2001-12-01,1148.08,0.0076,79045.4558,82463.3995,25 ans,24 mois
2002-01-01,1130.2,-0.0156,77814.4151,86565.1752,25 ans,24 mois
2002-02-01,1106.73,-0.0208,76198.5045,90645.316,25 ans,24 mois
2002-03-01,1147.39,0.0367,78997.9532,94965.0614,25 ans,24 mois
2002-04-01,1076.92,-0.0614,74146.0865,98875.8213,25 ans,24 mois
2002-05-01,1067.14,-0.0091,73472.7302,97977.8823,25 ans,24 mois
2002-06-01,989.82,-0.0725,68149.2375,90878.8602,25 ans,24 mois
2002-07-01,911.62,-0.079,62765.1564,83699.0417,25 ans,24 mois
2002-08-01,916.07,0.0049,63071.5403,84107.613,25 ans,24 mois
2002-09-01,815.28,-0.11,56132.1371,74853.7302,25 ans,24 mois
2002-10-01,885.76,0.0864,60984.693,81324.7454,25 ans,24 mois
2002-11-01,936.31,0.0571,64465.0663,85965.9178,25 ans,24 mois
2002-12-01,879.82,-0.0603,60575.7231,80779.3729,25 ans,24 mois
2003-01-01,855.7,-0.0274,58915.0583,78564.8312,25 ans,24 mois
2003-02-01,841.15,-0.017,57913.2897,77228.9456,25 ans,24 mois
2003-03-01,848.18,0.0084,58397.3039,77874.3917,25 ans,24 mois
2003-04-01,916.92,0.081,63130.0613,84185.6523,25 ans,24 mois
2003-05-01,963.59,0.0509,66343.2999,88470.5933,25 ans,24 mois
2003-06-01,974.5,0.0113,67094.453,89472.2764,25 ans,24 mois
2003-07-01,990.31,0.0162,68182.9734,90923.8479,25 ans,24 mois
2003-08-01,1008.01,0.0179,69401.6216,92548.9484,25 ans,24 mois
2003-09-01,995.97,-0.0119,68572.6633,91443.51,25 ans,24 mois
2003-10-01,1050.71,0.055,72341.5188,96469.3813,25 ans,24 mois
2003-11-01,1058.2,0.0071,72857.2057,97157.0636,25 ans,24 mois
2003-12-01,1111.92,0.0508,76555.8411,102089.2945,25 ans,24 mois
2004-01-01,1131.13,0.0173,77878.4494,103853.0287,25 ans,24 mois
2004-02-01,1144.9399,0.0122,78829.2654,105120.9676,25 ans,24 mois
2004-03-01,1126.21,-0.0164,77539.7038,103401.3021,25 ans,24 mois
2004-04-01,1107.3,-0.0168,76237.7538,101665.1165,25 ans,24 mois
2004-05-01,1120.6801,0.0121,77158.9689,102893.5819,25 ans,24 mois
2004-06-01,1140.84,0.018,78546.9815,104744.5344,25 ans,24 mois
2004-07-01,1101.72,-0.0343,75853.5647,101152.7899,25 ans,24 mois
2004-08-01,1104.24,0.0023,76027.0684,101384.1617,25 ans,24 mois
2004-09-01,1114.58,0.0094,76738.9764,102333.5104,25 ans,24 mois
2004-10-01,1130.2,0.014,77814.4151,103767.6372,25 ans,24 mois
2004-11-01,1173.8199,0.0386,80817.6575,107772.5425,25 ans,24 mois
2004-12-01,1211.92,0.0325,83440.8542,111270.6466,25 ans,24 mois
2005-01-01,1181.27,-0.0253,81330.596,108456.56,25 ans,24 mois
2005-02-01,1203.6,0.0189,82868.0164,110506.7519,25 ans,24 mois
2005-03-01,1180.59,-0.0191,81283.7742,108394.1218,25 ans,24 mois
2005-04-01,1156.85,-0.0201,79649.2728,106214.4697,25 ans,24 mois
2005-05-01,1191.5,0.03,82034.9315,109395.8105,25 ans,24 mois
2005-06-01,1191.33,-0.0001,82023.224,109380.1982,25 ans,24 mois
2005-07-01,1234.1801,0.036,84973.4588,113314.4165,25 ans,24 mois
2005-08-01,1220.33,-0.0112,84019.8778,112042.7903,25 ans,24 mois
2005-09-01,1228.8101,0.0069,84603.734,112821.3783,25 ans,24 mois
2005-10-01,1207.01,-0.0177,83102.7977,110819.8391,25 ans,24 mois
2005-11-01,1249.48,0.0352,86026.8608,114719.1567,25 ans,24 mois
2005-12-01,1248.29,-0.001,85944.9332,114609.9039,25 ans,24 mois
2006-01-01,1280.08,0.0255,88133.6731,117528.6482,25 ans,24 mois
2006-02-01,1280.66,0.0005,88173.6116,117581.9072,25 ans,24 mois
2006-03-01,1294.87,0.0111,89151.9693,118886.5737,25 ans,24 mois
2006-04-01,1310.61,0.0122,90235.6697,120331.7177,25 ans,24 mois
2006-05-01,1270.09,-0.0309,87445.861,116611.432,25 ans,24 mois
2006-06-01,1270.2,0.0001,87453.4335,116621.5301,25 ans,24 mois
2006-07-01,1276.66,0.0051,87898.2111,117214.6531,25 ans,24 mois
2006-08-01,1303.8199,0.0213,89768.1746,119708.3003,25 ans,24 mois
2006-09-01,1335.85,0.0246,91973.4463,122649.09,25 ans,24 mois
2006-10-01,1377.9399,0.0315,94871.346,126513.518,25 ans,24 mois
2006-11-01,1400.63,0.0165,96433.5598,128596.7726,25 ans,24 mois
2006-12-01,1418.3,0.0126,97650.1447,130219.1216,25 ans,24 mois
2007-01-01,1438.24,0.0141,99023.0123,132049.8778,25 ans,24 mois
2007-02-01,1406.8199,-0.0218,96859.7381,129165.0929,25 ans,24 mois
