Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
AOZORA BANK,8304,8304.T,0.04,Financial Services,Nikkei 225,^N225,Japan,JPX,225,255037046784
CASIO COMPUTER CO,6952,6952.T,0.04,Technology,Nikkei 225,^N225,Japan,JPX,225,252220211200
SUMITOMO PHARMA CO LTD,4506,4506.T,0.04,Healthcare,Nikkei 225,^N225,Japan,JPX,225,212947435520
TEIJIN LTD,3401,3401.T,0.04,Industrials,Nikkei 225,^N225,Japan,JPX,225,217145851904
HINO MOTORS,7205,7205.T,0.04,Industrials,Nikkei 225,^N225,Japan,JPX,225,224910606336
GS YUASA CORP,6674,6674.T,0.04,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,201105506304
MITSUI MINING & SMELTING CO,5706,5706.T,0.03,Industrials,Nikkei 225,^N225,Japan,JPX,225,189330587648
KONICA MINOLTA INC,4902,4902.T,0.03,Industrials,Nikkei 225,^N225,Japan,JPX,225,184666079232
CITIZEN WATCH CO LTD,7762,7762.T,0.03,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,195338993664
UBE CORPORATION,4208,4208.T,0.03,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,177936662528
OKUMA CORPORATION,6103,6103.T,0.03,Industrials,Nikkei 225,^N225,Japan,JPX,225,161479032832
TOKAI CARBON CO,5301,5301.T,0.03,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,166316802048
TOKUYAMA CORP,4043,4043.T,0.03,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,166911934464
DENKA COMPANY LIMITED,4061,4061.T,0.03,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,153694896128
KANADEVIA CORPORATION,7004,7004.T,0.02,Industrials,Nikkei 225,^N225,Japan,JPX,225,130010087424
NTN CORP,6472,6472.T,0.02,Industrials,Nikkei 225,^N225,Japan,JPX,225,104085151744
