Date,Close,Rendement du mois,Rendement LP,Rendement DCA x mois,Durée,Mois DCA
,^GSPC,,,,,
2022-07-01,4130.29,0.0911,19804.7001,19998.4699,10 ans,12 mois
2022-08-01,3955.0,-0.0424,18964.1861,19149.7323,10 ans,12 mois
2022-09-01,3585.6201,-0.0934,17193.0132,17361.2302,10 ans,12 mois
2022-10-01,3871.98,0.0799,18566.106,18747.7573,10 ans,12 mois
2022-11-01,4080.1101,0.0538,19564.0879,19755.5035,10 ans,12 mois
2022-12-01,3839.5,-0.059,18410.3648,18590.4923,10 ans,12 mois
2023-01-01,4076.6001,0.0618,19547.2574,19738.5084,10 ans,12 mois
2023-02-01,3970.1499,-0.0261,19036.8298,19223.0867,10 ans,12 mois
2023-03-01,4109.3101,0.0351,19704.1013,19896.8869,10 ans,12 mois
2023-04-01,4169.48,0.0146,19992.6155,20188.2239,10 ans,12 mois
2023-05-01,4179.8301,0.0025,20042.2441,20238.3381,10 ans,12 mois
2023-06-01,4450.3799,0.0647,21339.5278,21548.3144,10 ans,12 mois
2023-07-01,4588.96,0.0311,22004.0179,22219.3059,10 ans,12 mois
2023-08-01,4507.6602,-0.0177,21614.1861,21825.66,10 ans,12 mois
2023-09-01,4288.0498,-0.0487,20561.1567,20762.3276,10 ans,12 mois
2023-10-01,4193.7998,-0.022,20109.2288,20305.9782,10 ans,12 mois
2023-11-01,4567.7998,0.0892,21902.5552,22116.8504,10 ans,12 mois
2023-12-01,4769.8301,0.0442,22871.2883,23095.0617,10 ans,12 mois
2024-01-01,4845.6499,0.0159,23234.8437,23462.1741,10 ans,12 mois
2024-02-01,5096.27,0.0517,24436.5647,24675.6527,10 ans,12 mois
2024-03-01,5254.3501,0.031,25194.5571,25441.0614,10 ans,12 mois
2024-04-01,5035.6899,-0.0416,24146.0838,24382.3298,10 ans,12 mois
2024-05-01,5277.5098,0.048,25305.6075,25553.1983,10 ans,12 mois
2024-06-01,5460.48,0.0347,26182.9478,26439.1226,10 ans,12 mois
2024-07-01,5522.2998,0.0113,26479.3733,26738.4483,10 ans,12 mois
2024-08-01,5648.3999,0.0228,27084.022,27349.0129,10 ans,12 mois
2024-09-01,5762.48,0.0202,27631.0349,27901.3778,10 ans,12 mois
2024-10-01,5705.4502,-0.0099,27357.5776,27625.245,10 ans,12 mois
2024-11-01,6032.3799,0.0573,28925.2023,29208.2073,10 ans,12 mois
2024-12-01,5881.6299,-0.025,28202.3575,28478.2902,10 ans,12 mois
2025-01-01,6040.5298,0.027,28964.281,29247.6684,10 ans,12 mois
2025-02-01,5954.5,-0.0142,28551.769,28831.1204,10 ans,12 mois
2025-03-01,5611.8501,-0.0575,26908.7661,27172.0422,10 ans,12 mois
2025-04-01,5363.3599,-0.0443,25717.2578,25968.8763,10 ans,12 mois
2020-05-01,3044.3101,0.0453,10452.8182,871.0682,5 ans,12 mois
2020-06-01,3100.29,0.0184,10645.0288,1719.7252,5 ans,12 mois
2020-07-01,3271.1201,0.0551,11231.5839,2598.9763,5 ans,12 mois
2020-08-01,3500.3101,0.0701,12018.5211,3490.6968,5 ans,12 mois
2020-09-01,3363.0,-0.0392,11547.0589,4291.3402,5 ans,12 mois
2020-10-01,3269.96,-0.0277,11227.6004,5101.6187,5 ans,12 mois
